CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual;PrazoProducao
30.10.10.15.0088;FITA PP AR9 45 BR 048X1200 - M;1200;48;57,6;;44,00040393;Fita PP;33;10
30.10.10.15.0092;FITA PP AR9 45 BR 144X1200 - M;1200;144;172,8;;132,0012118;Fita PP;33;10
30.10.10.16.0095;FITA PP AR9 45 HA 024X100 - M;100;24;2,4;;1,955754768;Fita PP;33;10
30.10.10.16.0097;FITA PP AR9 45 HA 036X100 - M;100;36;3,6;;2,933632152;Fita PP;33;10
30.10.10.16.0101;FITA PP AR9 45 HA 048X050 - M;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.16.0106;FITA PP AR9 45 HA 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
30.10.10.16.0110;FITA PP AR9 45 HA 072X100 - M;100;72;7,2;;5,867264304;Fita PP;33;10
30.10.10.16.0116;FITA PP AR9 45 HA 144X1200 - M;1200;144;172,8;;132,0012118;Fita PP;33;10
30.10.10.16.0135;FITA PP AR9 45 HA 048X090 - M;90;48;4,32;;3,418893742;Fita PP;33;10
30.10.10.16.0143;FITA PP AR9 45 HA 072X100 - PERSONALIZADA;100;72;7,2;;5,867264304;Fita PP;33;10
30.10.10.16.0151;FITA PP AR9 45 HA 018X100 - M;100;18;1,8;;1,466816076;Fita PP;33;10
30.10.10.16.0152;FITA PP AR9 45 HA 048X045 - M;45;48;2,16;;1,767914316;Fita PP;33;10
30.10.10.18.0263;FITA PP AR9 45 HA 048X045 - PERSONALIZADA;45;48;2,16;;1,767914316;Fita PP;33;10
30.10.10.17.0119;FITA PP AR9 45 LJ 048X050 - M ;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.17.0120;FITA PP AR9 45 LJ 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
30.10.10.18.0127;FITA PP AR9 45 TR 024X050 - M;50;24;1,2;;0,926426827;Fita PP;33;10
30.10.10.18.0254;FITA PP AR9 45 TR 024X050 - PERSONALIZADA;50;24;1,2;;0,926426827;Fita PP;33;10
30.10.10.18.0128;FITA PP AR9 45 TR 024X100 - M;100;24;2,4;;1,793864208;Fita PP;33;10
30.10.10.18.0130;FITA PP AR9 45 TR 036X050 - M;50;36;1,8;;1,38964024;Fita PP;33;10
30.10.10.18.0132;FITA PP AR9 45 TR 036X100 - M;100;36;3,6;;2,690796312;Fita PP;33;10
30.10.10.18.0134;FITA PP AR9 45 TR 036X1200 - M;1200;36;43,2;;31,47866956;Fita PP;33;10
30.10.10.18.0142;FITA PP AR9 45 TR 048X045 - M;45;48;2,16;;1,622212812;Fita PP;33;10
30.10.10.18.0143;FITA PP AR9 45 TR 048X050 - M;50;48;2,4;;1,788999736;Fita PP;33;10
30.10.10.18.0146;FITA PP AR9 45 TR 048X080 - M;80;48;3,84;;2,793916887;Fita PP;33;10
30.10.10.18.0148;FITA PP AR9 45 TR 048X090 - M;90;48;4,32;;3,127490734;Fita PP;33;10
30.10.10.18.0151;FITA PP AR9 45 TR 048X1000 - M;1000;48;48;;33,50173536;Fita PP;33;10
30.10.10.18.0156;FITA PP AR9 45 TR 048X1500 - M;1500;48;72;;50,03497318;Fita PP;33;10
30.10.10.18.0163;FITA PP AR9 45 TR 072X050 - M;50;72;3,6;;2,77928048;Fita PP;33;10
30.10.10.18.0169;FITA PP AR9 45 TR 072X1200 - M;1200;72;86,4;;62,95733912;Fita PP;33;10
30.10.10.18.0172;FITA PP AR9 45 TR 096X100 - M;100;96;9,6;;7,173368832;Fita PP;33;10
30.10.10.18.0219;FITA PP AR9 45 TR 036X100 - PERSONALIZADA;100;36;3,6;;2,690796312;Fita PP;33;10
30.10.10.18.0225;FITA PP AR9 45 TR 048X050 - PERSONALIZADA;50;48;2,4;;1,788999736;Fita PP;33;10
30.10.10.18.0229;FITA PP AR9 45 TR 048X080 - PERSONALIZADA;80;48;3,84;;2,793916887;Fita PP;33;10
30.10.10.18.0231;FITA PP AR9 45 TR 048X090 - PERSONALIZADA;90;48;4,32;;3,127490734;Fita PP;33;10
30.10.10.18.0233;FITA PP AR9 45 TR 048X100 - PERSONALIZADA;100;48;4,8;;3,461064581;Fita PP;33;10
30.10.10.18.0237;FITA PP AR9 45 TR 048X1200 - PERSONALIZADA;1200;48;57,6;;40,11503049;Fita PP;33;10
30.10.10.18.0245;FITA PP AR9 45 TR 072X100 - PERSONALIZADA;100;72;7,2;;5,381592624;Fita PP;33;10
30.10.10.18.0250;FITA PP AR9 45 TR 048X045 - PERSONALIZADA;45;48;2,16;;1,622212812;Fita PP;33;10
30.10.10.18.0252;FITA PP AR9 45 TR 144X1000 - PERSONALIZADA;1000;144;144;;100,5052061;Fita PP;33;10
30.10.10.18.0255;FITA PP AR9 45 TR 024X090 - PERSONALIZADA;90;24;2,16;;1,620796293;Fita PP;33;10
30.10.10.18.0272;FITA PP AR9 45 TR 144X1200 - PERSONALIZADO;1200;144;172,8;;120,3450915;Fita PP;33;10
30.10.10.19.0197;FITA PP AR9 45 VD 048X050 - M;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.19.0198;FITA PP AR9 45 VD 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
30.10.10.21.0203;FITA PP AR9 45 VM 024X100 - M;100;24;2,4;;1,955754768;Fita PP;33;10
30.10.10.21.0205;FITA PP AR9 45 VM 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
30.10.10.21.0212;FITA PP AR9 45 VM 048X050 - PERSONALIZADA;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.21.0219;FITA PP AR9 45 VM 048X1200 - M;1200;48;57,6;;44,00040393;Fita PP;33;10
30.10.20.13.0258;FITA PP AS 50 TR 024X100 - M;100;24;2,4;;2,776777976;Fita PP;33;10
30.10.20.13.0260;FITA PP AS 50 TR 036X100 - M;100;36;3,6;;4,165166965;Fita PP;33;10
30.10.20.13.0264;FITA PP AS 50 TR 048X050 - M;50;48;2,4;;2,771913504;Fita PP;33;10
30.10.20.13.0267;FITA PP AS 50 TR 048X1000 - M;1000;48;48;;53,16001072;Fita PP;33;10
30.10.20.13.0268;FITA PP AS 50 TR 048X1200 - M;1200;48;57,6;;63,70496092;Fita PP;33;10
30.10.20.13.0276;FITA PP AS 50 TR 072X1200 - M;1200;72;86,4;;98,34223478;Fita PP;33;10
30.10.20.13.0279;FITA PP AS 50 TR 096X100 - M;100;96;9,6;;11,10502391;Fita PP;33;10
30.10.20.13.0281;FITA PP AS 50 TR 144X100 - M;100;144;14,4;;16,28067635;Fita PP;33;10
30.10.20.13.0284;FITA PP AS 50 TR 144X1200 - M;1200;144;172,8;;191,1148828;Fita PP;33;10
30.10.20.13.0293;FITA PP AS 50 TR 072X100 - PERSONALIZADA;100;72;7,2;;8,330333929;Fita PP;33;10
30.10.30.12.0010;FITA PP HM 40 HA 024X050 - M;50;24;1,2;;1,059214027;Fita PP;33;10
30.10.30.12.0012;FITA PP HM 40 HA 036X100 - M;100;36;3,6;;3,089157912;Fita PP;33;10
30.10.30.12.0014;FITA PP HM 40 HA 048X050 - M;50;48;2,4;;2,054574136;Fita PP;33;10
30.10.30.12.0016;FITA PP HM 40 HA 048X100 - M;100;48;4,8;;3,992213381;Fita PP;33;10
30.10.30.12.0020;FITA PP HM 40 HA 072X100 - M;100;72;7,2;;6,178315824;Fita PP;33;10
30.10.30.12.0021;FITA PP HM 40 HA 096X100 - M;100;96;9,6;;8,235666432;Fita PP;33;10
30.10.30.12.0022;FITA PP HM 40 HA 144X100 - M;100;144;14,4;;11,97664014;Fita PP;33;10
30.10.30.12.0123;FITA PP HM 40 HA 072X100 - PERSONALIZADA;100;72;7,2;;6,178315824;Fita PP;33;10
30.10.30.13.0077;FITA PP HM 40 TR 024X100 - M;100;24;2,4;;2,059438608;Fita PP;33;10
30.10.30.13.0081;FITA PP HM 40 TR 036X100 - M;100;36;3,6;;3,089157912;Fita PP;33;10
30.10.30.13.0086;FITA PP HM 40 TR 048X050 - M;50;48;2,4;;2,054574136;Fita PP;33;10
30.10.30.13.0087;FITA PP HM 40 TR 048X090 - M;90;48;4,32;;3,605524654;Fita PP;33;10
30.10.30.13.0092;FITA PP HM 40 TR 048X1500 - M;1500;48;72;;58,00220518;Fita PP;33;10
30.10.30.13.0093;FITA PP HM 40 TR 072X050 - M;50;72;3,6;;3,17764208;Fita PP;33;10
30.10.30.13.0097;FITA PP HM 40 TR 072X1200 - M;1200;72;86,4;;72,51801752;Fita PP;33;10
30.10.30.13.0100;FITA PP HM 40 TR 096X100 - M;100;96;9,6;;8,235666432;Fita PP;33;10
30.10.30.13.0106;FITA PP HM 40 TR 144X1200 - M;1200;144;172,8;;139,4664483;Fita PP;33;10
30.10.30.13.0122;FITA PP HM 40 TR 048X050 - PERSONALIZADA;50;48;2,4;;2,054574136;Fita PP;33;10
30.10.30.13.0125;FITA PP HM 40 TR 048X100 - PERSONALIZADA;100;48;4,8;;3,992213381;Fita PP;33;10
30.10.30.13.0131;FITA PP HM 40 TR 072X100 - PERSONALIZADA;100;72;7,2;;6,178315824;Fita PP;33;10
30.10.30.13.0139;FITA PP HM 40 TR 048X300 - M ;300;48;14,4;;11,73749221;Fita PP;33;10
30.10.30.15.0003;FITA PP HM 45 HA 024X100 - M;100;24;2,4;;2,246638608;Fita PP;33;10
30.10.30.15.0005;FITA PP HM 45 HA 048X100 - M;100;48;4,8;;4,366613381;Fita PP;33;10
30.10.30.15.0006;FITA PP HM 45 HA 048X1200 - M;1200;48;57,6;;50,98161609;Fita PP;33;10
30.10.30.15.0008;FITA PP HM 45 HA 072X100 - M;100;72;7,2;;6,739915824;Fita PP;33;10
30.10.30.15.0010;FITA PP HM 45 HA 072X1200 - M;1200;72;86,4;;79,25721752;Fita PP;33;10
30.10.30.15.0012;FITA PP HM 45 HA 048X050 - M;50;48;2,4;;2,241774136;Fita PP;33;10
30.10.30.15.0015;FITA PP HM 45 HA 096X100 - M;100;96;9,6;;8,984466432;Fita PP;33;10
30.10.30.15.0018;FITA PP HM 45 HA 048X050 - PERSONALIZADA;50;48;2,4;;2,241774136;Fita PP;33;10
30.10.30.15.0020;FITA PP HM 45 HA 048X100 - PERSONALIZADA;100;48;4,8;;4,366613381;Fita PP;33;10
30.10.30.15.0022;FITA PP HM 45 HA 048X1200 - PERSONALIZADA;1200;48;57,6;;50,98161609;Fita PP;33;10
30.10.30.15.0024;FITA PP HM 45 HA 072X100 - PERSONALIZADA;100;72;7,2;;6,739915824;Fita PP;33;10
30.10.30.15.0025;FITA PP HM 45 HA 048X090 - PERSONALIZADA;90;48;4,32;;3,942484654;Fita PP;33;10
30.10.30.16.0026;FITA PP HM 45 TR 036X100 - M;100;36;3,6;;3,369957912;Fita PP;33;10
30.10.30.16.0027;FITA PP HM 45 TR 036X1200 - M;1200;36;43,2;;39,62860876;Fita PP;33;10
30.10.30.16.0028;FITA PP HM 45 TR 048X050 - M;50;48;2,4;;2,241774136;Fita PP;33;10
