CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual
30.20.10.60.0004;"STRETCH FILME 3""500X23 MAQ ATX/44";KG;Bruto;1,47;44;6,126067777;Stretch;12
30.20.10.61.0004;"STRETCH FILME 3""500X23 MAQ LC3/44";KG;Bruto;1,47;44;6,001544543;Stretch;12
30.20.10.63.0001;"STRETCH FIL. 3""1500X40 MAQ LC3/25 LÍQ";KG;Liq;4,71;25;5,617552471;Stretch;12
30.20.10.64.0001;"STRETCH FIL. 3""500X23 MAQ ATX/14 B";KG;Bruto;1,47;14;5,939477473;Stretch;12
30.20.10.64.0002;"STRETCH FIL. 3""500X40 MAQ ATX/14 B";KG;Bruto;1,47;14;5,939477473;Stretch;12
30.20.10.64.0003;"STRETCH FIL. 3""500X30 MAQ ATX/14 B";KG;Bruto;1,47;14;5,939477473;Stretch;12
30.20.10.64.0004;"STRETCH FIL. 3""500X19 MAQ ATX/14 B";KG;Bruto;1,47;14;5,984852651;Stretch;12
30.20.10.45.0005;"STRETCH FIL. 3""750X30 MAQ ATX/PLUS 21,3 ";KG;Bruto;2,4;21,3;5,978280835;Stretch;12
30.20.10.65.0001;"STRETCH FIL. 3""750X30 MAQ LC3/21,3";KG;Bruto;2,4;21,3;5,805159565;Stretch;12
30.20.10.66.0001;"STRETCH FIL. 3""1000X23 MAQ ATX/22";KG;Bruto;3,14;22;5,841147345;Stretch;12
30.20.10.67.0001;"STRETCH FIL. 3""500X19 MAN ESPECIAL NOVO";KG;Bruto;1,47;4;5,451629628;Stretch;12
30.20.10.67.0002;"STRETCH FIL. 3""500X23 MAN ESPECIAL NOVO";KG;Bruto;1,47;4;5,40625445;Stretch;12
30.20.10.70.0011;"STRETCH FIL. 3""500X23 MAN ESPECIAL NOVO C/ UV";KG;Bruto;1,47;4;5,40625445;Stretch;12
30.20.10.67.0003;"STRETCH FIL. 3""500X30 MAN ESPECIAL NOVO";KG;Bruto;1,47;4;5,40625445;Stretch;12
30.20.10.67.0004;"STRETCH FIL. 3""500X40 MAN ESPECIAL NOVO";KG;Bruto;1,47;4;5,40625445;Stretch;12
30.20.10.67.0005;"STRETCH FIL. 3""500X17 MAN ESPECIAL NOVO";KG;Bruto;1,47;4;5,539452555;Stretch;12
30.20.10.68.0001;"STRETCH FIL. 3""500X19 MAN LEV NOVO";KG;Bruto;0,6;2,5;6,182484152;Stretch;12
30.20.10.68.0002;"STRETCH FIL. 3""500X23 MAN LEV NOVO";KG;Bruto;0,6;2,5;6,137108973;Stretch;12
30.20.10.68.0003;"STRETCH FIL. 3""500X30 MAN LEV NOVO";KG;Bruto;0,6;2,5;6,137108973;Stretch;12
