CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material
30.10.10.16.0152;FITA PP AR9 45 HA 048X045 - M;45;48;2,16;;1,339915759;Fita PP
30.10.10.18.0263;FITA PP AR9 45 HA 048X045 - PERSONALIZADA;45;48;2,16;;1,339915759;Fita PP
30.10.10.17.0119;FITA PP AR9 45 LJ 048X050 - M ;50;48;2,4;;1,621014136;Fita PP
30.10.10.17.0120;FITA PP AR9 45 LJ 048X100 - M;100;48;4,8;;3,125093381;Fita PP
30.10.10.18.0127;FITA PP AR9 45 TR 024X050 - M;50;24;1,2;;0,769595131;Fita PP
30.10.10.18.0254;FITA PP AR9 45 TR 024X050 - PERSONALIZADA;50;24;1,2;;0,769595131;Fita PP
30.10.10.18.0128;FITA PP AR9 45 TR 024X100 - M;100;24;2,4;;1,480200816;Fita PP
30.10.10.18.0130;FITA PP AR9 45 TR 036X050 - M;50;36;1,8;;1,154392696;Fita PP
30.10.10.18.0132;FITA PP AR9 45 TR 036X100 - M;100;36;3,6;;2,220301224;Fita PP
30.10.10.18.0134;FITA PP AR9 45 TR 036X1200 - M;1200;36;43,2;;25,8327285;Fita PP
30.10.10.18.0142;FITA PP AR9 45 TR 048X045 - M;45;48;2,16;;1,339915759;Fita PP
30.10.10.18.0143;FITA PP AR9 45 TR 048X050 - M;50;48;2,4;;1,475336344;Fita PP
30.10.10.18.0146;FITA PP AR9 45 TR 048X080 - M;80;48;3,84;;2,29205546;Fita PP
30.10.10.18.0148;FITA PP AR9 45 TR 048X090 - M;90;48;4,32;;2,562896629;Fita PP
30.10.10.18.0151;FITA PP AR9 45 TR 048X1000 - M;1000;48;48;;27,22846752;Fita PP
30.10.10.18.0156;FITA PP AR9 45 TR 048X1500 - M;1500;48;72;;40,62507142;Fita PP
30.10.10.18.0163;FITA PP AR9 45 TR 072X050 - M;50;72;3,6;;2,308785392;Fita PP
30.10.10.18.0169;FITA PP AR9 45 TR 072X1200 - M;1200;72;86,4;;51,66545701;Fita PP
30.10.10.18.0172;FITA PP AR9 45 TR 096X100 - M;100;96;9,6;;5,918715264;Fita PP
30.10.10.18.0219;FITA PP AR9 45 TR 036X100 - PERSONALIZADA;100;36;3,6;;2,220301224;Fita PP
30.10.10.18.0225;FITA PP AR9 45 TR 048X050 - PERSONALIZADA;50;48;2,4;;1,475336344;Fita PP
30.10.10.18.0229;FITA PP AR9 45 TR 048X080 - PERSONALIZADA;80;48;3,84;;2,29205546;Fita PP
30.10.10.18.0231;FITA PP AR9 45 TR 048X090 - PERSONALIZADA;90;48;4,32;;2,562896629;Fita PP
30.10.10.18.0233;FITA PP AR9 45 TR 048X100 - PERSONALIZADA;100;48;4,8;;2,833737797;Fita PP
30.10.10.18.0237;FITA PP AR9 45 TR 048X1200 - PERSONALIZADA;1200;48;57,6;;32,58710908;Fita PP
30.10.10.18.0245;FITA PP AR9 45 TR 072X100 - PERSONALIZADA;100;72;7,2;;4,440602448;Fita PP
30.10.10.18.0250;FITA PP AR9 45 TR 048X045 - PERSONALIZADA;45;48;2,16;;1,339915759;Fita PP
30.10.10.18.0252;FITA PP AR9 45 TR 144X1000 - PERSONALIZADA;1000;144;144;;81,68540256;Fita PP
30.10.10.18.0255;FITA PP AR9 45 TR 024X090 - PERSONALIZADA;90;24;2,16;;1,33849924;Fita PP
30.10.10.18.0272;FITA PP AR9 45 TR 144X1200 - PERSONALIZADO;1200;144;172,8;;97,76132723;Fita PP
30.10.10.19.0197;FITA PP AR9 45 VD 048X050 - M;50;48;2,4;;1,621014136;Fita PP
30.10.10.19.0198;FITA PP AR9 45 VD 048X100 - M;100;48;4,8;;3,125093381;Fita PP
30.10.10.21.0203;FITA PP AR9 45 VM 024X100 - M;100;24;2,4;;1,625878608;Fita PP
30.10.10.21.0205;FITA PP AR9 45 VM 048X100 - M;100;48;4,8;;3,125093381;Fita PP
30.10.10.21.0212;FITA PP AR9 45 VM 048X050 - PERSONALIZADA;50;48;2,4;;1,621014136;Fita PP
30.10.10.21.0219;FITA PP AR9 45 VM 048X1200 - M;1200;48;57,6;;36,08337609;Fita PP
30.10.20.13.0258;FITA PP AS 50 TR 024X100 - M;100;24;2,4;;2,267199969;Fita PP
30.10.20.13.0260;FITA PP AS 50 TR 036X100 - M;100;36;3,6;;3,400799953;Fita PP
30.10.20.13.0264;FITA PP AS 50 TR 048X050 - M;50;48;2,4;;2,262335497;Fita PP
30.10.20.13.0267;FITA PP AS 50 TR 048X1000 - M;1000;48;48;;42,96845057;Fita PP
30.10.20.13.0268;FITA PP AS 50 TR 048X1200 - M;1200;48;57,6;;51,47508874;Fita PP
30.10.20.13.0276;FITA PP AS 50 TR 072X1200 - M;1200;72;86,4;;79,99742651;Fita PP
30.10.20.13.0279;FITA PP AS 50 TR 096X100 - M;100;96;9,6;;9,066711876;Fita PP
30.10.20.13.0281;FITA PP AS 50 TR 144X100 - M;100;144;14,4;;13,22320831;Fita PP
30.10.20.13.0284;FITA PP AS 50 TR 144X1200 - M;1200;144;172,8;;154,4252662;Fita PP
30.10.20.13.0293;FITA PP AS 50 TR 072X100 - PERSONALIZADA;100;72;7,2;;6,801599907;Fita PP
30.10.30.12.0010;FITA PP HM 40 HA 024X050 - M;50;24;1,2;;1,076794219;Fita PP
30.10.30.12.0012;FITA PP HM 40 HA 036X100 - M;100;36;3,6;;3,141898488;Fita PP
30.10.30.12.0014;FITA PP HM 40 HA 048X050 - M;50;48;2,4;;2,08973452;Fita PP
30.10.30.12.0016;FITA PP HM 40 HA 048X100 - M;100;48;4,8;;4,062534149;Fita PP
30.10.30.12.0020;FITA PP HM 40 HA 072X100 - M;100;72;7,2;;6,283796976;Fita PP
30.10.30.12.0021;FITA PP HM 40 HA 096X100 - M;100;96;9,6;;8,376307968;Fita PP
30.10.30.12.0022;FITA PP HM 40 HA 144X100 - M;100;144;14,4;;12,18760245;Fita PP
30.10.30.12.0123;FITA PP HM 40 HA 072X100 - PERSONALIZADA;100;72;7,2;;6,283796976;Fita PP
30.10.30.13.0077;FITA PP HM 40 TR 024X100 - M;100;24;2,4;;2,094598992;Fita PP
30.10.30.13.0081;FITA PP HM 40 TR 036X100 - M;100;36;3,6;;3,141898488;Fita PP
30.10.30.13.0086;FITA PP HM 40 TR 048X050 - M;50;48;2,4;;2,08973452;Fita PP
30.10.30.13.0087;FITA PP HM 40 TR 048X090 - M;90;48;4,32;;3,668813345;Fita PP
30.10.30.13.0092;FITA PP HM 40 TR 048X1500 - M;1500;48;72;;59,0570167;Fita PP
30.10.30.13.0093;FITA PP HM 40 TR 072X050 - M;50;72;3,6;;3,230382656;Fita PP
30.10.30.13.0097;FITA PP HM 40 TR 072X1200 - M;1200;72;86,4;;73,78379134;Fita PP
30.10.30.13.0100;FITA PP HM 40 TR 096X100 - M;100;96;9,6;;8,376307968;Fita PP
30.10.30.13.0106;FITA PP HM 40 TR 144X1200 - M;1200;144;172,8;;141,9979959;Fita PP
