CodigoProduto;NomeProduto;Comprimento;FC;FCConvertido;Custo;Material;
30.10.10.18.0275;FITA PP AR9 45 TR 096X1200 - PERSONALIZADA;1200;96; 115,20 ;6,50;Fita PP;
30.10.10.18.0253;FITA PP AR9 45 TR 012X050 - PERSONALIZADA;50;12; 0,60 ;4,88;Fita PP;
30.10.10.16.0150;FITA PP AR9 45 HA 048X085 - PERSONALIZADA;85;48; 4,08 ;1,28;Fita PP;
30.10.10.18.0159;FITA PP AR9 45 TR 048X900 - M;900;48; 43,20 ;168,91;Fita PP;
30.10.30.13.0089;FITA PP HM 40 TR 048X1000 - M;1000;48; 48,00 ;1,62;Fita PP;
30.10.10.12.0124;FITA PP AA 40 TR 024X200 - M ;200;24; 4,80 ;1,18;Fita PP;
30.10.10.12.0061;FITA PP AA 40 TR 096X1200 - M;1200;96; 115,20 ;6,50;Fita PP;
30.10.10.12.0171;FITA PP AA 40 TR 036X1000 - M;1000;36; 36,00 ;10,45;Fita PP;
30.10.10.12.0074;FITA PP AA 40 TR 240X1200 - M;1200;240; 288,00 ;1,63;Fita PP;
30.10.10.12.0168;FITA PP AA 40 TR 018X200 - M;200;18; 3,60 ;66,77;Fita PP;
30.10.30.13.0085;FITA PP HM 40 TR 048X045 - M;45;48; 2,16 ;1,63;Fita PP;
30.10.30.16.0024;FITA PP HM 45 TR 024X100 - M;100;24; 2,40 ;154,75;Fita PP;
30.10.71.01.0002;FITA PP BRC 50 TR 048X100 - M;100;48; 4,80 ;23,76;Fita PP;
30.10.30.13.0142;FITA PP HM 40 TR 048X400 - M;400;48; 19,20 ;3,17;Fita PP;
30.10.10.18.0197;FITA PP AR9 45 TR 288X1200 - M;1200;288; 345,60 ;4,02;Fita PP;
30.10.10.11.0021;FITA PP AA 40 HA 072X100 - PERSONALIZADA;100;72; 7,20 ;36,89;Fita PP;
30.10.10.11.0051;FITA PP AA 40 HA 048X100 - PERSONALIZADA;100;48; 4,80 ;68,78;Fita PP;
30.10.10.11.0086;FITA PP AA 40 HA 072X090 - PERSONALIZADA;90;72; 6,48 ;68,78;Fita PP;
30.10.10.11.0093;FITA PP AA 40 HA 036X050;50;36; 1,80 ;0,38;Fita PP;
30.10.10.12.0050;FITA PP AA 40 TR 048X400 - M;400;48; 19,20 ;2,43;Fita PP;
30.10.10.12.0104;FITA PP AA 40 TR 018X050 - PERSONALIZADA;50;18; 0,90 ;24,55;Fita PP;
